143111	sef sectie productie film
143112	sef atelier productie film
143113	sef oficiu interjudetean difuzare film
143114	conducator de intreprindere mica
143115	administrator structuri sportive
143901	sef atelier decorator
143902	sef agentie/oficiu turism
143903	sef unitate elementara de lucru
143904	sef atelier presa
143905	sef laborator conservare-restaurare opere de
143906	sef serviciu control tehnic presa
143907	conducator de intreprindere mica
143908	manager in activitatea de turism
143909	director de agentie de turism tour
143910	director centru informare turistica
143911	director de departament organizare
143912	conducator de pensiune turistica (rurala
143913	sef serviciu statie, tura meteo
143914	sef centru meteo aeronautic
143915	sef birou/statie/tura meteo aeronautic/de
143916	sef Centru National pentru Protectia
143917	sef echipa interventii si supraveghere
143918	director de departament ticketing
143919	manager destinatie turistica
211101	fizician
211102	cercetator in fizica
211103	asistent de cercetare in fizica
211104	cercetator in fizica-chimie
211105	asistent de cercetare in fizica-chimie
211106	cercetator in fizica tehnologica
211107	asistent de cercetare in fizica tehnologica
211108	cercetator in astronomie
211109	asistent de cercetare in astronomie
211110	cercetator de aeronave
211111	inginer de cercetare de aeronave
211112	asistent de cercetare de aeronave
211113	cercetator in constructii aerospatiale
211114	inginer de cercetare in constructii
211115	asistent de cercetare in constructii
211201	meteorolog (studii superioare)
211202	meteorolog previzionist
211203	climatolog
211204	meteorolog aeronautic
211205	consilier/expert in meteorologie si domenii
211206	asistent meteorolog
211207	meteorolog aeronautic prognozist
211208	coordonator interventii active in atmosfera
211209	cercetator in meteorologie
211210	asistent de cercetare in meteorologie
211301	chimist
211302	consilier chimist
211303	expert chimist
211304	inspector de specialitate chimist
211305	referent de specialitate chimist
211306	cercetator in chimie
211307	asistent de cercetare in chimie
211308	cercetator in biochimie tehnologica
211309	asistent de cercetare in biochimie
211310	cercetator in chimie fizica
211311	asistent de cercetare in chimie fizica
211312	chimist analist
211401	consilier geolog
211402	expert geolog
211403	inspector de specialitate geolog
211404	referent de specialitate geolog
211405	consilier geofizician
211406	expert geofizici an
211407	inspector de specialitate geofizician
211408	referent de specialitate geofizician
211409	consilier hidrogeolog i
211410	expert
211411	inspector de specialitate hidrogeolog
211412	referent de specialitate hidrogeolog
211413	consilier hidrolog
211414	expert hidrolog
211415	inspector de specialitate hidrolog
211416	referent de specialitate hidrolog
211417	consilier pedolog
211418	expert pedolog
211419	inspector de specialitate pedolog
211420	referent de specialitate pedolog
211421	inginer geolog
211422	geolog
211423	geofizician
211424	hidrolog
211425	pedolog
211426	cercetator in geologie
211427	asistent de cercetare in geologie
211428	cercetator in geologie tehnica
211429	asistent de cercetare in geologie tehnica
211430	cercetator in geofizica
211431	asistent de cercetare in geofizica
211432	cercetator in mineralogia tehnica si
211433	asistent de cercetare in mineralogia tehnica
211434	cercetator in geochimie
211435	asistent de cercetare in geochimie
211436	cercetator in geologie petroliera
211437	asistent de cercetare in geologie petroliera
211438	cercetator in geodezie
211439	inginer de cercetare in geodezie
211440	asistent de cercetare in geodezie
